week,order_ID,item_name,amount,price_unit,price_total,item_type,category,day,time,store_type,store_name,promo,reorder,item_id,type_id,order_amount,order_price,day_num,storetype_num,storename_num,cat_num,time_num,promo_num,datetime,timestamp,dates,times,times_min,dates_days
8,18,CROISSANT,2,1.15,2.3,danish,bakery,Sunday,noon,bakery,Vanessa,False,True,30,4,7,7.550000000000001,2,0,8,0,3,0,2022-02-06 12:31:00,1644150660000000000,2022-02-06,12:31:00,1231,20220206
8,18,KOEKEN MIX,2,1.1,2.2,danish,bakery,Sunday,noon,bakery,Vanessa,False,True,31,4,7,7.550000000000001,2,0,8,0,3,0,2022-02-06 12:31:00,1644150660000000000,2022-02-06,12:31:00,1231,20220206
8,18,KL LANG GROF MZ,1,1.85,1.85,bread,bakery,Sunday,noon,bakery,Vanessa,False,True,32,5,7,7.550000000000001,2,0,8,0,3,0,2022-02-06 12:31:00,1644150660000000000,2022-02-06,12:31:00,1231,20220206
1,1,ROYCO POMPOEN/TOMAAT,1,1.55,1.55,soup,beverages,Tuesday,evening,supermarket,Aldi,False,False,33,10,44,78.07517,4,2,1,1,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
1,1,ROYCO STGERMAIN3ST/KIP,1,1.55,1.55,soup,beverages,Tuesday,evening,supermarket,Aldi,False,True,34,10,44,78.07517,4,2,1,1,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
1,1,ICED TEA GREEN 6X33CL,1,2.15,2.15,ice tea,beverages,Tuesday,evening,supermarket,Aldi,False,False,35,11,44,78.07517,4,2,1,1,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
2,4,LIPTON Blue Fruits/Citrus 20st,1,2.59,2.59,tea,beverages,Wednesday,evening,supermarket,Colruyt,False,False,36,12,53,83.10005199999999,5,2,2,1,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
2,4,ROYCO CRUNCHY soep asperge 3st,1,1.67,1.67,soup,beverages,Wednesday,evening,supermarket,Colruyt,False,True,37,10,53,83.10005199999999,5,2,2,1,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
2,4,ROYCO CRUNCHY soep gevogelte 3st,1,1.69,1.69,soup,beverages,Wednesday,evening,supermarket,Colruyt,False,True,38,10,53,83.10005199999999,5,2,2,1,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
2,4,"LIPTON Ice Tea Original bruisend 1,5l",8,1.63,13.04,ice tea,beverages,Wednesday,evening,supermarket,Colruyt,False,True,39,11,53,83.10005199999999,5,2,2,1,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
2,4,NALU energiedrank 25cl,12,0.948,11.376,energy drink,beverages,Wednesday,evening,supermarket,Colruyt,False,False,40,13,53,83.10005199999999,5,2,2,1,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
5,10,TROPICO exotique 33cl,6,0.75,4.5,juice,beverages,Monday,evening,supermarket,Colruyt,False,False,41,14,39,59.076885,1,2,2,1,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
6,11,BONI sinaasappelsap pulp 1L,2,2.39,4.78,juice,beverages,Monday,evening,supermarket,Colruyt,False,True,42,14,46,82.691596,1,2,2,1,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
6,11,TROPICO exotique 33cl,6,0.75,4.5,juice,beverages,Monday,evening,supermarket,Colruyt,False,True,41,14,46,82.691596,1,2,2,1,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
6,11,"LIPTON ice tea original bruisend 1,5L",8,1.63,13.04,ice tea,beverages,Monday,evening,supermarket,Colruyt,False,True,43,11,46,82.691596,1,2,2,1,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
8,16,GINI 33cl,6,0.648,3.888,soft drink,beverages,Wednesday,evening,supermarket,Colruyt,False,False,44,15,54,118.65543,5,2,2,1,1,0,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
8,16,EVERYDAY sinaasappelsap brik 10x20cl,1,1.7,1.7,juice,beverages,Wednesday,evening,supermarket,Colruyt,False,True,45,14,54,118.65543,5,2,2,1,1,0,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
8,16,BONI sinaas pulp 100% puur sap brik 1L,2,1.74,3.48,juice,beverages,Wednesday,evening,supermarket,Colruyt,False,True,46,14,54,118.65543,5,2,2,1,1,0,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
8,16,"LIPTON ICE TEA ZERO bruisend 1,5L",6,1.83,10.98,ice tea,beverages,Wednesday,evening,supermarket,Colruyt,False,True,47,11,54,118.65543,5,2,2,1,1,0,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
2,4,JAQUES matinettes melk 128g,2,1.75,3.5,breakfast chocolate,breakfast & spreads,Wednesday,evening,supermarket,Colruyt,False,False,48,16,53,83.10005199999999,5,2,2,2,1,0,2021-12-01 19:00:00,1638385200000000000,2021-12-01,19:00:00,1900,20211201
6,11,JACQUES matinettes melk 128g,1,1.37,1.37,breakfast chocolate,breakfast & spreads,Monday,evening,supermarket,Colruyt,False,True,49,16,46,82.691596,1,2,2,2,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
7,12,KELLOGG'S EXTRA crun.muesli choc. 500g,2,4.41,8.82,muesli,breakfast & spreads,Wednesday,afternoon,supermarket,Colruyt,False,False,50,17,28,57.116077,5,2,2,2,0,0,2022-01-26 16:58:00,1643216280000000000,2022-01-26,16:58:00,1658,20220126
7,12,JACQUES matinettes melk 128g,2,1.75,3.5,breakfast chocolate,breakfast & spreads,Wednesday,afternoon,supermarket,Colruyt,False,True,49,16,28,57.116077,5,2,2,2,0,0,2022-01-26 16:58:00,1643216280000000000,2022-01-26,16:58:00,1658,20220126
6,11,ROYCO CRUNCHY soep asperge 3st,1,1.89,1.89,soup,canned foods,Monday,evening,supermarket,Colruyt,False,True,37,10,46,82.691596,1,2,2,3,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
6,11,BONI appelmousseline bok 200g,1,0.65,0.65,apple sauce,canned foods,Monday,evening,supermarket,Colruyt,False,False,51,18,46,82.691596,1,2,2,3,1,0,2022-01-17 18:16:00,1642443360000000000,2022-01-17,18:16:00,1816,20220117
8,16,EVERYDAY tomatenstukjes 400g,6,0.35,2.1,diced tomatoes,canned foods,Wednesday,evening,supermarket,Colruyt,False,False,52,19,54,118.65543,5,2,2,3,1,0,2022-02-02 18:04:00,1643825040000000000,2022-02-02,18:04:00,1804,20220202
1,1,TANDENBORSTELS 2ST,1,0.59,0.59,toothbrush,care & hygiene,Tuesday,evening,supermarket,Aldi,False,False,53,20,44,78.07517,4,2,1,4,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
3,7,GARNIER UD SHAMPOO 400,1,3.99,3.99,shampoo,care & hygiene,Tuesday,afternoon,supermarket,Aldi,False,False,54,21,24,57.44,4,2,1,4,0,0,2021-12-07 17:16:00,1638897360000000000,2021-12-07,17:16:00,1716,20211207
7,12,EVERYDAY tandenborstel medium 4st,1,0.35,0.35,toothbrush,care & hygiene,Wednesday,afternoon,supermarket,Colruyt,False,True,55,20,28,57.116077,5,2,2,4,0,0,2022-01-26 16:58:00,1643216280000000000,2022-01-26,16:58:00,1658,20220126
7,12,BONI flosdraad munt fluor 50m,1,1.49,1.49,floss,care & hygiene,Wednesday,afternoon,supermarket,Colruyt,False,False,56,22,28,57.116077,5,2,2,4,0,0,2022-01-26 16:58:00,1643216280000000000,2022-01-26,16:58:00,1658,20220126
1,1,CURRYSAUS 510G,1,0.99,0.99,curry sauce,condiments,Tuesday,evening,supermarket,Aldi,False,False,57,23,44,78.07517,4,2,1,5,1,0,2021-11-23 18:41:00,1637692860000000000,2021-11-23,18:41:00,1841,20211123
5,10,SHARWOODS kormasaus 420g,1,4.75,4.75,korma sauce,condiments,Monday,evening,supermarket,Colruyt,False,False,58,24,39,59.076885,1,2,2,5,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
5,10,BONI guacamole mild 200g,1,2.91,2.91,guacamole,condiments,Monday,evening,supermarket,Colruyt,False,False,59,25,39,59.076885,1,2,2,5,1,0,2022-01-10 18:45:00,1641840300000000000,2022-01-10,18:45:00,1845,20220110
7,12,BONI groene pesto 190g,1,0.99,0.99,pesto,condiments,Wednesday,afternoon,supermarket,Colruyt,False,False,60,26,28,57.116077,5,2,2,5,0,0,2022-01-26 16:58:00,1643216280000000000,2022-01-26,16:58:00,1658,20220126
